book_name,authors,publisher,pub_time,desc,score,people_num,price
红楼梦,[清] 曹雪芹 著 ,人民文学出版社, 1996-12 ,都云作者痴，谁解其中味？,9.6,433415, 59.70元
活着,余华 ,作家出版社, 2012-8 ,生的苦难与伟大,9.4,855616, 20.00元
哈利·波特,J.K.罗琳 (J.K.Rowling)  苏农 ,人民文学出版社, 2008-12-1 ,从9¾站台开始的旅程,9.7,114213, 498.00元
1984,[英] 乔治·奥威尔  刘绍铭 ,北京十月文艺出版社, 2010-4-1 ,栗树荫下，我出卖你，你出卖我,9.4,292079, 28.00
三体全集 : 地球往事三部曲,刘慈欣 ,重庆出版社, 2012-1 ,地球往事三部曲,9.5,195438, 168.00元
百年孤独,[哥伦比亚] 加西亚·马尔克斯  范晔 ,南海出版公司, 2011-6 ,魔幻现实主义文学代表作,9.3,436483, 39.50元
飘,[美国] 玛格丽特·米切尔  李美华 ,译林出版社, 2000-9 ,革命时期的爱情，随风而逝,9.3,216305, 40.00元
动物农场,[英] 乔治·奥威尔  荣如德 ,上海译文出版社, 2007-3 ,太阳底下并无新事,9.3,165252, 10.00元
三国演义（全二册）,[明] 罗贯中 ,人民文学出版社, 1998-05 ,是非成败转头空,9.3,172149, 39.50元
房思琪的初恋乐园,林奕含 ,北京联合出版公司, 2018-2 ,向死而生的文学绝唱,9.2,390559, 45.00元
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔  丁钟华 等  群众出版社 ,1981-8, 53.00元,名侦探的代名词,9.3,136389,68.00元
白夜行,[日] 东野圭吾  刘姿君 ,南海出版公司, 2013-1-1 ,一宗离奇命案牵出跨度近20年步步惊心的故事,9.2,488988, 39.50元
小王子,[法] 圣埃克苏佩里  马振骋 ,人民文学出版社, 2003-8 ,献给长成了大人的孩子们,9.1,767064, 22.00元
邓小平时代,【美】傅高义 (Ezra.F.Vogel)  冯克利 ,生活·读书·新知三联书店, 2013-1-18 ,个人命运背后的历史变局,9.3,74996, 88.00元
安徒生童话故事集,（丹麦）安徒生  叶君健 ,人民文学出版社, 1997-08 ,为了争取未来的一代,9.3,135756, 25.00元
呐喊,鲁迅 ,人民文学出版社, 1973-3 ,新文学的第一声呐喊,9.2,164843, 0.36元
天龙八部,金庸 ,生活·读书·新知三联书店, 1994-5 ,有情皆孽，无人不冤,9.2,135005, 96.00元
撒哈拉的故事,三毛 ,哈尔滨出版社, 2003-8 ,游荡的自由灵魂,9.2,180810, 15.80元
杀死一只知更鸟,[美] 哈珀·李  高红梅 ,译林出版社, 2012-9 ,有一种东西不能遵循从众原则，那就是——人的良心,9.2,151139, 32.00元
悉达多 : 一首印度的诗,[德] 赫尔曼·黑塞  姜乙 ,天津人民出版社, 2017-1 ,,9.2,126102, 32.00元
失踪的孩子 : 那不勒斯四部曲4,[意] 埃莱娜·费兰特  陈英 ,人民文学出版社, 2018-7 ,我的整个生命，只是一场为了提升社会地位的低俗斗争。,9.2,86521, 62.00元
明朝那些事儿（1-9） : 限量版,当年明月 ,中国海关出版社, 2009-4 ,不拘一格的历史书写,9.2,182005, 358.20元
新名字的故事 : 那不勒斯四部曲2,[意] 埃莱娜·费兰特  陈英 ,人民文学出版社, 2017-4 ,探索青年时代的激情、困惑、挣扎、背叛和失去,9.2,97170, 59.00元
野草,鲁迅 ,人民文学出版社, 1973-3 ,我以这一丛野草，在明与暗，生与死，过去与未来之际，献于友与仇，人与兽，爱者与不爱者之前作证。,9.5,49495, 0.20元
中国历代政治得失,钱穆 ,生活·读书·新知三联书店, 2001 ,一部简明的“中国政治制度史”,9.2,75743, 12.00元
