nan,女性,电影,王铁梅,男性,邵艺辉,女性主义,王茉莉,声音,喜欢,好东西,生活,表达,爱情神话,角色,小叶,台词,世界,故事,性别,观众
女性,148,3,0,1,8,0,0,0,0,0,0,0,0,3,0,0,2,1,0,3
电影,3,151,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
王铁梅,0,0,104,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
男性,1,0,0,84,4,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0
邵艺辉,8,2,0,4,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
女性主义,0,1,0,1,0,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0
王茉莉,0,0,0,0,0,0,74,0,5,0,0,0,0,0,0,0,0,0,0,0
声音,0,0,0,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0
喜欢,0,0,0,0,1,0,5,1,67,0,0,0,0,0,0,0,0,0,0,0
好东西,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
生活,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0,0,0,0,0
表达,0,0,0,1,0,1,0,0,0,0,0,51,0,0,0,0,0,1,0,0
爱情神话,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0
角色,3,0,1,3,0,0,0,0,0,0,1,0,0,42,0,0,0,0,0,0
小叶,0,0,1,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
台词,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
世界,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0
故事,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,0,0
性别,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
观众,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
